Domain                                                 ,Associated Domains
uberproxy-san.corp.google.com                          ,"*.anguslab.corp.google.com, *.apis.corp.google.com, *.auth.corp.google.com, *.bigstore.corp.google.com, *.bigstore-test.corp.google.com, *.business.corp.google.com, *.connect-canary.corp.google.com, *.connect.corp.google.com, *.connect-dev.corp.google.com, *.connect-staging.corp.google.com, *.contacts.corp.google.com, *.corp-backups.corp.google.com, *.dasher.corp.google.com, *.dasher-qa.corp.google.com, *.demetrius-codespot.corp.google.com, *.demetrius.corp.google.com, *.demetrius-googlecode.corp.google.com, *.demos.corp.google.com, *.demos-dev.corp.google.com, *.demos-strong.corp.google.com, *.devsite-preview.corp.google.com, *.dfa7.corp.google.com, *.docs-dev.corp.google.com, *.docs-platinum.corp.google.com, *.docs-qa.corp.google.com, *.drive-test.corp.google.com, *.dthree.corp.google.com, *.focus.corp.google.com, *.games.corp.google.com, *.git.corp.google.com, *.gutenberg.corp.google.com, *.gutenberg-dev.corp.google.com, *.gutenberg-staging.corp.google.com, *.gws-demos.corp.google.com, *.gws-mobile-demos.corp.google.com, *.h5games-autopush.corp.google.com, *.h5games.corp.google.com, *.h5games-dev.corp.google.com, *.h5games-prod.corp.google.com, *.h5games-staging.corp.google.com, *.jotspot-qa08.corp.google.com, *.litespeed-proxy.corp.google.com, *.loop.corp.google.com, *.oz-gmail.corp.google.com, *.oz-guc.corp.google.com, *.oz-s2.corp.google.com, *.oz-www.corp.google.com, *.plusapis.corp.google.com, *.plusone.corp.google.com, *.postini.corp.google.com, *.profiles.corp.google.com, *.prom-qa.corp.google.com, *.recorder-autopush.corp.google.com, *.recorder-dev.corp.google.com, *.recorder-staging.corp.google.com, *.search.corp.google.com, *.sites-googlegroups-nightly.corp.google.com, *.sites-googlegroups-qa06.corp.google.com, *.sites-googlegroups-qa07.corp.google.com, *.sites-googlegroups-qa08.corp.google.com, *.sites-googlegroups-tctest.corp.google.com, *.staging-git.corp.google.com, *.testing-git.corp.google.com, *.test.postini.corp.google.com, *.tuf-autopush.corp.google.com, *.tuf-autopush-qual.corp.google.com, *.tuf-dev.corp.google.com, *.tuf-file-autopush.corp.google.com, *.tuf-file-dev.corp.google.com, *.tuf-file-prod.corp.google.com, *.tuf-file-staging.corp.google.com, *.tuf-prod.corp.google.com, *.tuf-staging.corp.google.com, uberproxy-san.corp.google.com, *.urchin.corp.google.com, *.usercontent.corp.google.com, *.webapp.corp.google.com, *.webapp-dev.corp.google.com, *.webapps.corp.google.com, *.webapps-dev.corp.google.com, *.webapps-staging.corp.google.com, *.webapp-staging.corp.google.com, *.webdrive-test-canary.corp.google.com, *.webdrive-test-prod.corp.google.com, *.webview-cider-v.corp.google.com, *.webview-cider-v-staging.corp.google.com, *.webview-cider-v-test.corp.google.com, *.wetdocs.corp.google.com, *.wetlab.corp.google.com, *.wpt-autopush.corp.google.com, *.wpt-dev.corp.google.com, *.wpt-staging.corp.google.com"
uberproxy-san.printer.corp.google.com                  ,"*.printer.corp.google.com, uberproxy-san.printer.corp.google.com"
uberproxy-cctlds.corp.google.com                       ,uberproxy-cctlds.corp.google.com
uberproxy-san.consent.corp.google.com                  ,"*.consent.corp.google.com, uberproxy-san.consent.corp.google.com"
malachite-wildcards.corp.google.com                    ,"*.malachite-dev.corp.google.com, *.malachite-looker-dev.corp.google.com, *.malachite-looker-staging.corp.google.com, *.malachite-preprod.corp.google.com, *.malachite-staging.corp.google.com, *.malachite-test.corp.google.com, malachite-wildcards.corp.google.com"
ics.prod.google.com                                    ,"*.adsfe.corp.google.com, *.adsfe-qa.corp.google.com, *.adz.corp.google.com, *.adz.google.com, *.adz-qa.corp.google.com, *.borgmon.evenflow.adz.google.com, *.borgmon.evenflow-test.adz.google.com, *.evenflow.adz.google.com, *.evenflow-test.adz.google.com, *.frame.ads-devel.qa.adz.google.com, *.frame.ads-nightly.qa.adz.google.com, *.frame.ads-prod.qa.adz.google.com, *.frame.adwords-canary.qa.adz.google.com, *.frame.adwords.corp.google.com, *.frame.adwords-detours-prod.qa.adz.google.com, *.frame.adwords-next-external-devel.qa.adz.google.com, *.frame.adwords-next-external-prod.qa.adz.google.com, *.frame.canary.qa.adz.google.com, *.frame.ds-next-devel.qa.adz.google.com, *.frame.ds-next-external-devel.qa.adz.google.com, *.frame.ds-next-external-prod.qa.adz.google.com, *.frame.ds-next-nightly.qa.adz.google.com, *.frame.ds-next-prod.qa.adz.google.com, *.frame.searchads-canary.qa.adz.google.com, *.frame.searchads.corp.google.com, *.ics-devel-east.qa.adz.google.com, ics.prod.google.com, *.qa.adz.google.com, *.spam.adz.google.com, *.spam-test.adz.google.com"
uberproxy-san.cnsviewer-static.corp.google.com         ,"*.cnsviewer-static.corp.google.com, *.cnsviewer-static-dev.corp.google.com, uberproxy-san.cnsviewer-static.corp.google.com"
uberproxy-san.cert.corp.google.com                     ,"*.cert.corp.google.com, uberproxy-san.cert.corp.google.com"
uberproxy-apphosting.corp.google.com                   ,"*.firebase-staging.corp.google.com, *.firebase-staging-sso.corp.google.com, *.paidtasks.corp.google.com, *.paidtasks-staging.corp.google.com, *.pantheon-demos.corp.google.com, *.pantheon-staging.corp.google.com, *.pantheon-staging-sso.corp.google.com, *.pantheon-tests.corp.google.com, *.prom.corp.google.com, uberproxy-apphosting.corp.google.com"
devsite-wildcards.corp.google.com                      ,"*.devsite.corp.google.com, devsite-wildcards.corp.google.com, *.test.devsite.corp.google.com"
uberproxy-nocert.corp.google.com                       ,"ca-service-gecc.corp.google.com, corp-logs-proxy-canary.corp.google.com, corp-logs-proxy.corp.google.com, emergencylocator.corp.google.com, gleeok-pacserver.corp.google.com, legaldms-dev-no-cert.corp.google.com, legaldms-no-cert.corp.google.com, legaldms-uat-no-cert.corp.google.com, m.guts.corp.google.com, m.gutsdev.corp.google.com, proxyconfig-canary.corp.google.com, proxyconfig.corp.google.com, proxyconfig-testing.corp.google.com, pxecontrol.corp.google.com, pxecontrol-test.corp.google.com, snaxca-api.corp.google.com, uberproxy-nocert.corp.google.com"
pantheon-wildcards.corp.google.com                     ,"*.pantheon-ci.corp.google.com, *.pantheon-sandbox.corp.google.com, pantheon-wildcards.corp.google.com"
splat-svr.hot.corp.google.com                          ,splat-svr.hot.corp.google.com
*.c.docs.google.com                                    ,"*.c.chat.google.com, *.c.docs.google.com, *.c.drive.google.com, *.c.mail.google.com, *.c.pack.google.com, *.c.play.google.com"
client-d31feif.xup.corp.google.com                     ,client-d31feif.xup.corp.google.com
xup.corp.google.com                                    ,"*.xup.corp.google.com, xup.corp.google.com"
sg-cs-sin30-3-xx-corpa-nvr02.corp.google.com           ,sg-cs-sin30-3-xx-corpa-nvr02.corp.google.com
sg-cs-sin30-3-xx-corpa-nvr01.corp.google.com           ,sg-cs-sin30-3-xx-corpa-nvr01.corp.google.com
radius-machineauth-anycast.corp.google.com             ,radius-machineauth-anycast.corp.google.com
smtp-proxy.corp.google.com                             ,smtp-proxy.corp.google.com
us-edg-sfo03-1-ac-corpa-nvr01.corp.google.com          ,us-edg-sfo03-1-ac-corpa-nvr01.corp.google.com
us-edg-ord38-1-ac-corpa-nvr01.corp.google.com          ,us-edg-ord38-1-ac-corpa-nvr01.corp.google.com
us-edg-sea30-1-ac-corpa-nvr01.corp.google.com          ,us-edg-sea30-1-ac-corpa-nvr01.corp.google.com
us-cs-lax65-1-xx-corpa-nvr01.corp.google.com           ,us-cs-lax65-1-xx-corpa-nvr01.corp.google.com
br-cs-gru23-1-xx-corpa-nvr01.corp.google.com           ,br-cs-gru23-1-xx-corpa-nvr01.corp.google.com
br-cs-gru23-1-xx-corpa-nvr02.corp.google.com           ,br-cs-gru23-1-xx-corpa-nvr02.corp.google.com
us-cs-lax65-1-xx-corpa-nvr02.corp.google.com           ,us-cs-lax65-1-xx-corpa-nvr02.corp.google.com
us-edg-dfw25-1-ac-corpa-nvr01.corp.google.com          ,us-edg-dfw25-1-ac-corpa-nvr01.corp.google.com
uk-edg-lhr48-1-ac-corpa-nvr01.corp.google.com          ,uk-edg-lhr48-1-ac-corpa-nvr01.corp.google.com
apigee.google.com                                      ,"*.apigee.google.com, apigee.google.com, *.asia.apigee.google.com, *.australia.apigee.google.com, *.europe.apigee.google.com, *.northamerica.apigee.google.com, *.southamerica.apigee.google.com"
contentpartners.maps.google.com                        ,"*.contentpartners.maps.google.com, contentpartners.maps.google.com"
deliverynavigator.cloud.google.com                     ,"*.deliverynavigator.cloud.google.com, deliverynavigator.cloud.google.com"
captive.googleapis.com                                 ,"captive.adservice.google.com, captive.adservice.google.com.br, captive.adservice.google.com.mx, captive.adservice.google.com.ng, captive.adservice.google.com.ph, captive.adservice.google.com.vn"
*.mtls.googleapis.com                                  ,"*.mtls.clients6.google.com, *.mtls.cloud.google.com, *.mtls.sandbox.google.com, sandbox.mtls.google.com"
*.workspace.google.com                                 ,*.workspace.google.com
*.gsuite.google.com                                    ,*.gsuite.google.com
