starting the dnsdmpstr:

false
reversedns


google-proxy-66-249-84-200.google.com,66.249.84.200
google-proxy-74-125-215-200.google.com,74.125.215.200
rate-limited-proxy-108-177-65-200.google.com,108.177.65.200
rate-limited-proxy-108-177-76-200.google.com,108.177.76.200
google-proxy-66-102-7-200.google.com,66.102.7.200
rate-limited-proxy-192-178-17-200.google.com,192.178.17.200
rate-limited-proxy-74-125-217-200.google.com,74.125.217.200
rate-limited-proxy-108-177-77-200.google.com,108.177.77.200
rate-limited-proxy-66-249-87-200.google.com,66.249.87.200
google-proxy-66-102-8-200.google.com,66.102.8.200
google-proxy-192-178-8-200.google.com,192.178.8.200
google-proxy-74-125-208-200.google.com,74.125.208.200
rate-limited-proxy-74-125-218-200.google.com,74.125.218.200
rate-limited-proxy-203-208-38-200.google.com,203.208.38.200
rate-limited-proxy-209-85-238-200.google.com,209.85.238.200
rate-limited-proxy-74-125-148-200.google.com,74.125.148.200
rate-limited-proxy-108-177-68-200.google.com,108.177.68.200
rate-limited-proxy-142-250-88-200.google.com,142.250.88.200
google-proxy-192-178-9-200.google.com,192.178.9.200
rate-limited-proxy-74-125-149-200.google.com,74.125.149.200
rate-limited-proxy-108-177-79-200.google.com,108.177.79.200
rate-limited-proxy-66-249-89-200.google.com,66.249.89.200
rate-limited-proxy-72-14-199-200.google.com,72.14.199.200
mail-qk0-f200.google.com,209.85.220.200
mail-io0-f200.google.com,95.213.203.174
mail-yw0-f200.google.com,82.202.226.238
mail-yb1-f200.google.com,209.85.219.200
mail-pf1-f200.google.com,209.85.210.200
mail-pg1-f200.google.com,209.85.215.200
mail-oi1-f200.google.com,209.85.167.200
mail-lj1-f200.google.com,209.85.208.200
mail-il1-f200.google.com,104.216.17.161
mail-pl1-f200.google.com,209.85.214.200
netnod-ix-ge-b-sth-1500.google.com,194.68.128.115
google-proxy-74-125-210-10.google.com,74.125.210.10
rate-limited-proxy-74-125-150-10.google.com,74.125.150.10
rate-limited-proxy-108-177-70-10.google.com,108.177.70.10
google-proxy-66-249-80-10.google.com,66.249.80.10
rate-limited-proxy-192-178-21-10.google.com,192.178.21.10
rate-limited-proxy-74-125-151-10.google.com,74.125.151.10
rate-limited-proxy-142-250-91-10.google.com,142.250.91.10
rate-limited-proxy-66-249-91-10.google.com,66.249.91.10
google-proxy-142-250-32-10.google.com,142.250.32.10
google-proxy-192-178-13-10.google.com,192.178.13.10
google-proxy-74-125-213-10.google.com,74.125.213.10
rate-limited-proxy-108-177-73-10.google.com,108.177.73.10
google-proxy-66-249-83-10.google.com,66.249.83.10
google-proxy-74-125-214-10.google.com,74.125.214.10
rate-limited-proxy-108-177-74-10.google.com,108.177.74.10
google-proxy-74-125-215-10.google.com,74.125.215.10
216-239-45-10.google.com,216.239.45.10
google-proxy-66-249-85-10.google.com,66.249.85.10
rate-limited-proxy-108-177-66-10.google.com,108.177.66.10
rate-limited-proxy-108-177-76-10.google.com,108.177.76.10
rate-limited-proxy-108-177-77-10.google.com,108.177.77.10
rate-limited-proxy-66-249-87-10.google.com,66.249.87.10
google-proxy-74-125-208-10.google.com,74.125.208.10
rate-limited-proxy-209-85-238-10.google.com,209.85.238.10
google-proxy-66-249-88-10.google.com,66.249.88.10
google-proxy-66-102-9-10.google.com,66.102.9.10
google-proxy-192-178-9-10.google.com,192.178.9.10
rate-limited-proxy-74-125-219-10.google.com,74.125.219.10
rate-limited-proxy-108-177-79-10.google.com,108.177.79.10
rate-limited-proxy-66-249-89-10.google.com,66.249.89.10
rate-limited-proxy-72-14-199-10.google.com,72.14.199.10
google-proxy-74-125-210-110.google.com,74.125.210.110
rate-limited-proxy-108-177-70-110.google.com,108.177.70.110
google-proxy-66-249-80-110.google.com,66.249.80.110
rate-limited-proxy-66-249-90-110.google.com,66.249.90.110
rate-limited-proxy-192-178-21-110.google.com,192.178.21.110
rate-limited-proxy-108-177-71-110.google.com,108.177.71.110
google-proxy-74-125-212-110.google.com,74.125.212.110
google-proxy-64-233-172-110.google.com,64.233.172.110
google-proxy-66-249-82-110.google.com,66.249.82.110
rate-limited-proxy-66-249-92-110.google.com,66.249.92.110
google-proxy-192-178-13-110.google.com,192.178.13.110
google-proxy-74-125-213-110.google.com,74.125.213.110
rate-limited-proxy-108-177-73-110.google.com,108.177.73.110
google-proxy-64-233-173-110.google.com,64.233.173.110
google-proxy-66-249-83-110.google.com,66.249.83.110
google-proxy-192-178-14-110.google.com,192.178.14.110
google-proxy-74-125-214-110.google.com,74.125.214.110
rate-limited-proxy-108-177-64-110.google.com,108.177.64.110
rate-limited-proxy-108-177-74-110.google.com,108.177.74.110
